Offense Category,10 and Under,11−15,16−20,21−25,26−30,31−35,36−40,41−45,46−50,51−55,56−60,61−65,66 and Over,Unknown Age
Arson,484.0,318.0,663.0,1293.0,1804.0,2334.0,2356.0,2244.0,2084.0,1776.0,1999.0,1456.0,2731.0,1311.0
Bribery,9.0,26.0,60.0,72.0,73.0,77.0,39.0,41.0,36.0,14.0,13.0,7.0,11.0,37.0
Burglary/Breaking & Entering,2591.0,2927.0,19887.0,49849.0,59183.0,63094.0,59799.0,53449.0,47653.0,47088.0,46526.0,40424.0,77290.0,8404.0
Counterfeiting/Forgery,112.0,111.0,1712.0,3184.0,4132.0,5060.0,5580.0,5791.0,5963.0,6679.0,7360.0,7672.0,22337.0,2787.0
Destruction/Damage/Vandalism,2588.0,4258.0,56076.0,128389.0,143014.0,144377.0,133341.0,117317.0,100164.0,95536.0,88137.0,73399.0,119564.0,19731.0
Embezzlement,9.0,16.0,197.0,372.0,608.0,708.0,791.0,828.0,722.0,805.0,778.0,733.0,1952.0,281.0
Extortion/Blackmail,45.0,1905.0,6851.0,3528.0,1693.0,1288.0,1058.0,908.0,750.0,635.0,520.0,478.0,852.0,97.0
Fraud Offenses,1196.0,1953.0,29350.0,55682.0,64905.0,72015.0,69125.0,64000.0,59469.0,59908.0,59842.0,56632.0,145392.0,13990.0
Larceny/Theft Offenses,5496.0,23094.0,136566.0,290201.0,307962.0,304299.0,271791.0,235848.0,202782.0,194738.0,182275.0,151457.0,274957.0,38386.0
Motor Vehicle Theft,686.0,401.0,21719.0,68745.0,84499.0,84716.0,76015.0,67503.0,57863.0,54781.0,50673.0,38768.0,60149.0,10288.0
Robbery,946.0,5684.0,18748.0,24492.0,22166.0,19905.0,16809.0,13751.0,11017.0,9925.0,9107.0,6649.0,7675.0,1258.0
Stolen Property Offenses,1921.0,429.0,3779.0,9181.0,10713.0,11000.0,9873.0,8628.0,8233.0,7230.0,7717.0,5276.0,9265.0,12067.0
